Country,Id,Year,Quality,Pop,N,Fertility,Birth,Mortality,X,K,D,Delta,d,k,x,rho,x_fc,rho_fc,ws,w,v,i,c,gX,chi,gamma,B,a,o,b,YPop,YL,KL
Afghanistan,AFG,1993,,18372,5797663,8.034,51.76,22.525,7663694421,11237187617,1392192498,12.39,240.1,1938.2,1321.9,0.682,1902.2,0.8614,,,,153,1168.9,-8.086,-5.713,-13.089,375000000,0.03337,0.04893,64.7,417139.9097,1321.859242,1938.227113
Afghanistan,AFG,1994,,19901,6268507,8.052,51.802,22.475,6097214025,10612933297,1325616568,12.49,211.5,1693.1,972.7,0.5745,1843.3,0.8488,,,,111.9,860.8,-11.196,-7.796,-17.19,360000000,0.03392,0.05904,57.4,306377.2687,972.6740394,1693.055986
Afghanistan,AFG,1995,,20881,6555300,8.058,51.804,22.44,9355467869,10371077229,1311743880,12.65,200.1,1582.1,1427.2,0.9021,1795.1,0.8388,,,,163.2,1264,-2,1.433,-8.752,346000000,0.03336,0.03698,52.8,448037.3483,1427.160903,1582.090405
Afghanistan,AFG,1996,,21560,6757737,8.043,51.754,22.414,9053833625,10103552552,1296812460,12.84,191.9,1495.1,1339.8,0.8961,1758.7,0.8311,,,,152.3,1187.5,-1.087,2.419,-8.255,327000000,0.03236,0.03612,48.4,419936.6245,1339.773008,1495.108873
Afghanistan,AFG,1997,,22227,6956802,8.004,51.646,22.386,9838167937,10989366242,1345582998,12.24,193.4,1579.7,1414.2,0.8952,1734.9,0.8253,,,,320.8,1093.4,-0.263,1.063,-6.203,304000000,0.02766,0.0309,43.7,442622.3934,1414.179667,1579.657757
Afghanistan,AFG,1998,,22913,7161982,7.938,51.472,22.341,9601552611,11737776454,1420577072,12.1,198.3,1638.9,1340.6,0.818,1724,0.8213,,,,302.8,1037.8,4.509,3.637,0.282,288000000,0.02454,0.03,40.2,419043.8882,1340.627861,1638.90058
Afghanistan,AFG,1999,,23646,7383606,7.846,51.229,22.268,9377501861,12371513286,1474648924,11.92,199.7,1675.5,1270,0.758,1726.1,0.8188,,,,285.5,984.5,8.61,5.543,5.335,227000000,0.01835,0.02421,30.7,396578.7812,1270.043643,1675.538116
Afghanistan,AFG,2000,,23898,7457617,7.729,50.903,22.151,9148962122,12885171924,1535603394,11.92,205.9,1727.8,1226.8,0.71,1740.8,0.8177,,,,274.8,952,-0.446,-4.788,-3.026,213000000,0.01653,0.02328,28.6,382833.7987,1226.794313,1727.786761
Afghanistan,AFG,2001,,23997,7486939,7.59,50.486,21.976,8880360899,13448021401,1521158160,11.31,203.2,1796.2,1186.1,0.6603,1767.2,0.8179,,,,278.4,907.8,-0.387,-6.106,-2.436,176000000,0.01309,0.01982,23.5,370061.2951,1186.113697,1796.197538
Afghanistan,AFG,2002,,25268,7898447,7.438,49.984,21.74,15284270416,14803249167,1554711993,10.5,196.8,1874.2,1935.1,1.0325,1804.1,0.8189,,,,368.4,1566.7,8.811,2.853,6.272,98000000,0.00662,0.00641,12.4,604886.4341,1935.09818,1874.197442
Afghanistan,AFG,2003,,27060,8464678,7.28,49.416,21.45,17215544380,16963649244,1659697343,9.78,196.1,2004.1,2033.8,1.0148,1849.5,0.8202,,,,451.3,1582.5,11.678,4.313,8.335,159000000,0.00937,0.00924,18.8,636198.9793,2033.809718,2004.051335
Afghanistan,AFG,2004,,28514,8946419,7.123,48.803,21.11,17627606650,19909479090,1845485930,9.27,206.3,2225.4,1970.4,0.8854,1901.7,0.8217,,,,535.6,1434.8,12.623,3.107,8.783,192000000,0.00964,0.01089,21.5,618208.8325,1970.35335,2225.413217
Afghanistan,AFG,2005,,29929,9441194,6.973,48.177,20.734,19947040611,23218247122,2056115401,8.86,217.8,2459.2,2112.8,0.8591,1958.9,0.8232,,,,568.2,1544.5,15.589,3.812,10.872,191000000,0.00823,0.00958,20.2,666478.6866,2112.766734,2459.249023
Afghanistan,AFG,2006,,31057,9839603,6.835,47.575,20.341,21358746960,26174936548,2313980778,8.84,235.2,2660.2,2170.7,0.816,2019.8,0.8247,,,,535.7,1635,17.552,4.233,12.087,190000000,0.00726,0.0089,19.3,687727.3066,2170.691944,2660.161853
Afghanistan,AFG,2007,,31890,10169931,6.711,47.023,19.948,23486736268,29144711296,2453035469,8.42,241.2,2865.8,2309.4,0.8059,2082.9,0.8263,,,,533.2,1776.2,8.592,-4.956,3.537,195000000,0.00669,0.0083,19.2,736492.2003,2309.429264,2865.772766
Afghanistan,AFG,2008,,24507,7856671,6.601,46.538,19.572,24726184595,31436384626,2595767591,8.26,330.4,4001.2,3147.2,0.7865,2147,0.8279,,,,622.1,2525.1,7.241,-5.097,8.732,222000000,0.00706,0.00898,28.3,1008943.755,3147.15795,4001.234699
Albania,ALB,1983,C,2837,1144299,3.382,26.644,5.952,8599896942,26981826327,,,,23579.3,7515.4,0.3187,6932,0.2619,,,,3320.9,4194.6,3.307,,0.602,2081000000,0.07713,0.24198,1818.6,3031334.84,7515.428172,23579.34974
Albania,ALB,1984,C,2896,1171389,3.282,26.417,5.863,8640326281,27497822599,2891514130,10.52,2468.4,23474.5,7376.1,0.3142,6899.4,0.2741,,,,2908.9,4467.2,2.68,,0.059,2134000000,0.07761,0.24698,1821.8,2983538.08,7376.137458,23474.54398
Albania,ALB,1985,C,2957,1202534,3.202,26.172,5.78,8764983213,28066457826,2964371544,10.56,2465.1,23339.4,7288.8,0.3123,6866.4,0.2863,,,,2938,4350.8,2.157,,-0.45,2149000000,0.07657,0.24518,1787.1,2964147.181,7288.761243,23339.42976
Albania,ALB,1986,C,3015,1236600,3.138,25.895,5.721,9256222264,28724537788,3044126335,10.6,2461.7,23228.6,7485.2,0.3222,6835.8,0.2987,,,,2993.9,4491.4,2.306,,-0.299,2197000000,0.07649,0.23735,1776.6,3070057.136,7485.219363,23228.64126
Albania,ALB,1987,C,3075,1270430,3.084,25.579,5.699,9294198665,29065096343,3117256846,10.73,2453.7,22878.1,7315.8,0.3198,6810.5,0.3114,,,,2721.8,4594,1.97,,-0.619,2030000000,0.06984,0.21842,1597.9,3022503.631,7315.789666,22878.15648
Albania,ALB,1988,C,3137,1303399,3.032,25.217,5.721,9158709069,29346965498,3174608455,10.82,2435.6,22515.7,7026.8,0.3121,6794.4,0.3245,,,,2651.9,4374.9,1.259,-0.421,-1.345,1998000000,0.06808,0.21815,1532.9,2919575.731,7026.788473,22515.7189
Albania,ALB,1989,C,3196,1339119,2.979,24.801,5.783,9941942384,30155812614,3253521551,10.79,2429.6,22519.1,7424.2,0.3297,6791.8,0.3381,,,,3033.6,4390.6,2.806,0.961,0.13,2450000000,0.08124,0.24643,1829.6,3110745.427,7424.24115,22519.14327
Albania,ALB,1990,C,3251,1363625,2.925,24.325,5.878,9136616505,30708773378,3348418541,10.9,2455.5,22519.9,6700.2,0.2975,6807.1,0.3525,,,,2861,3839.2,0.831,-0.969,-1.684,2042000000,0.0665,0.2235,1497.5,2810401.878,6700.241272,22519.95481
Albania,ALB,1991,C,3181,1300353,2.869,23.788,5.99,7570952913,28008128968,3293523325,11.76,2532.8,21538.9,5822.2,0.2703,6845.6,0.3677,,,,455.9,5366.3,-4.02,-3.514,-5.025,1083000000,0.03867,0.14305,832.9,2380054.358,5822.228974,21538.86596
Albania,ALB,1992,C,3072,1247068,2.814,23.198,6.103,7388581638,25303958183,3130596272,12.37,2510.4,20290.8,5924.8,0.292,6912.3,0.3839,,,,341.9,5582.8,-4.589,-1.818,-4.218,651000000,0.02573,0.08811,522,2405137.252,5924.762433,20290.76055
Albania,ALB,1993,C,3066,1264610,2.76,22.562,6.2,7619447442,23519929213,3016219344,12.82,2385.1,18598.6,6025.1,0.324,7011.1,0.401,,,,974.4,5050.8,-3.68,0.747,-3.076,639000000,0.02717,0.08386,505.3,2485142.675,6025.136162,18598.56336
Albania,ALB,1994,C,3111,1299193,2.705,21.885,6.27,8007367587,22552441463,2892056256,12.82,2226,17358.8,6163.3,0.3551,7145.2,0.4189,,,,1481.4,4682,-4.328,1.483,-3.723,526000000,0.02332,0.06569,404.9,2573888.649,6163.33954,17358.80771
Albania,ALB,1995,C,3158,1330974,2.645,21.157,6.303,8653503027,21747882448,2936856577,13.5,2206.5,16339.8,6501.6,0.3979,7316.5,0.4374,,,,1602.1,4899.6,-1.087,5.814,-0.602,569000000,0.02616,0.06575,427.5,2740184.619,6501.631908,16339.82516
Albania,ALB,1996,C,3204,1356149,2.577,20.364,6.291,9681625063,20884082628,2976475657,14.25,2194.8,15399.5,7139.1,0.4636,7526.1,0.4562,,,,1557.8,5581.2,4.918,10.788,4.078,550000000,0.02634,0.05681,405.6,3021730.669,7139.057038,15399.54874
Albania,ALB,1997,C,3225,1357708,2.5,19.51,6.24,8776375367,19474220211,2848176245,14.63,2097.8,14343.5,6464.1,0.4507,7774.2,0.4752,,,,1059.4,5404.7,3.443,8.68,1.742,421000000,0.02162,0.04797,310.1,2721356.703,6464.11111,14343.4525
Albania,ALB,1998,C,3213,1359473,2.413,18.616,6.162,9725705520,18449068514,2621518676,14.21,1928.3,13570.8,7154,0.5272,8060.8,0.4939,,,,1174.3,5979.8,4.881,9.738,3.435,478000000,0.02591,0.04915,351.6,3026985.845,7154.026244,13570.75022
Albania,ALB,1999,C,3187,1355051,2.318,17.713,6.065,10849606211,17883637248,2601680236,14.55,1920,13197.8,8006.8,0.6067,8384.3,0.5121,,,,1502.7,6504.1,6.075,10.714,5.233,816000000,0.04563,0.07521,602.2,3404332.04,8006.788092,13197.75953
Albania,ALB,2000,C,3158,1347547,2.222,16.85,5.965,11116144153,17968204985,2639749879,14.69,1958.9,13334,8249.2,0.6187,8742.5,0.5295,,,,2021.7,6227.5,5.009,8.827,4.761,826000000,0.04597,0.07431,613,3519994.982,8249.169901,13334.00986
Albania,ALB,2001,C,3128,1342404,2.131,16.081,5.879,11350673020,18539432952,2583252119,13.93,1924.3,13810.6,8455.5,0.6122,9132.5,0.546,,,,2349.9,6105.6,3.181,5.563,3.385,881000000,0.04752,0.07762,656.3,3628731.784,8455.48212,13810.62106
Albania,ALB,2002,C,3098,1339501,2.049,15.444,5.822,11606883625,19098107772,2626825175,13.75,1961,14257.6,8665.1,0.6078,9551.1,0.5614,,,,2378.1,6287,5.591,5.981,5.861,1023000000,0.05357,0.08814,763.7,3746573.152,8665.080224,14257.6286
Albania,ALB,2003,C,3070,1336535,1.982,14.962,5.803,12883759220,19892966068,2882973276,14.49,2157,14884,9639.7,0.6477,9994.4,0.5757,,,,2751.8,6887.9,5.624,4.117,5.964,1170000000,0.05881,0.09081,875.4,4196664.241,9639.672152,14883.98438
Albania,ALB,2004,C,3046,1337578,1.931,14.644,5.825,14373803247,20947618326,2900983903,13.85,2168.8,15660.9,10746.1,0.6862,10457.7,0.5889,,,,2957.3,7788.8,5.626,2.463,5.885,1092000000,0.05213,0.07597,816.4,4718911.112,10746.14209,15660.8574
Albania,ALB,2005,C,3025,1339152,1.896,14.485,5.887,15217069006,23686548427,1938038048,8.18,1447.2,17687.7,11363.2,0.6424,10935.8,0.6012,,,,3492.5,7870.7,6.28,0.754,6.405,1255000000,0.05298,0.08247,937.2,5030436.035,11363.21269,17687.7221
Albania,ALB,2006,C,3006,1338339,1.876,14.464,5.98,16534374097,27023723325,2118886760,7.84,1583.2,20192,12354.4,0.6118,11423.8,0.6127,,,,4076.7,8277.7,7.523,-0.013,7.584,1154000000,0.0427,0.06979,862.3,5500457.118,12354.39907,20191.98673
Albania,ALB,2007,C,2992,1341059,1.864,14.534,6.09,18006149820,30592168794,2658452679,8.69,1982.4,22811.9,13426.8,0.5886,11917.3,0.6236,,,,4643.3,8783.5,8.782,-0.641,8.759,1222000000,0.03994,0.06787,911.2,6018098.202,13426.81405,22811.94846
Albania,ALB,2008,C,2984,1343291,1.858,14.649,6.204,19349609116,34617277313,3186754389,9.21,2372.3,25770.5,14404.6,0.559,12412.8,0.6342,,,,5368.8,9035.8,8.134,-2.946,8.033,1139000000,0.0329,0.05886,847.9,6484453.457,14404.62946,25770.49747
Algeria,DZA,1973,D,15198,3650711,7.384,47.798,15.279,63322591816,1.16023E+11,,,,31780.9,17345.3,0.5458,16991.4,0.455,0.3409,5913.8,35.97,5764.3,11581,5.844,,3.647,10448000000,0.09005,0.165,2861.9,4166508.213,17345.27653,31780.93822
Algeria,DZA,1974,D,15653,3764354,7.364,47.416,14.906,66291341336,1.30218E+11,14738500979,11.32,3915.3,34592.3,17610.3,0.5091,17380,0.4412,0.283,4984.4,36.499,7686.1,9924.2,5.222,,2.602,8701000000,0.06682,0.13125,2311.4,4235056.624,17610.28355,34592.34552
Algeria,DZA,1975,D,16140,3885846,7.332,46.956,14.51,65579462195,1.47475E+11,15878601517,10.77,4086.3,37951.8,16876.5,0.4447,17741.8,0.4275,0.3244,5475.5,30.041,8527.2,8349.3,3.137,,0.081,8735000000,0.05923,0.1332,2247.9,4063163.705,16876.49541,37951.78378
Algeria,DZA,1976,D,16635,4009365,7.284,46.42,14.067,69730438595,1.64214E+11,15119479235,9.21,3771,40957.6,17391.9,0.4246,18072.9,0.414,0.3168,5510.4,29.009,7946.1,9445.8,6.992,,3.905,10682000000,0.06505,0.15319,2664.3,4191790.718,17391.89088,40957.61652
Algeria,DZA,1977,D,17153,4138898,7.22,45.819,13.565,75262238736,1.87594E+11,17077148356,9.1,4126,45324.7,18184.1,0.4012,18368.5,0.401,0.3171,5766.5,27.397,9774.9,8409.2,3.859,,0.743,11424000000,0.0609,0.15179,2760.2,4387701.203,18184.12503,45324.70165
Algeria,DZA,1978,D,17686,4272281,7.138,45.157,13,83435851068,2.16741E+11,18410101932,8.49,4309.2,50731.9,19529.6,0.385,18623.4,0.3886,0.3558,6949.3,24.798,11131.5,8398.1,5.517,-6.982,2.372,17052000000,0.07867,0.20437,3991.3,4717621.343,19529.57941,50731.9486
Algeria,DZA,1979,D,18230,4408661,7.035,44.431,12.377,91199452379,2.40189E+11,20570797047,8.56,4666,54481.1,20686.4,0.3797,18832,0.377,0.3595,7436.4,24.32,9984.5,10701.9,6.38,-5.865,3.22,12441000000,0.0518,0.13642,2821.9,5002712.692,20686.42891,54481.11232
Algeria,DZA,1980,D,18806,4553075,6.909,43.627,11.708,90819615412,2.63468E+11,21729079474,8.25,4772.4,57865.9,19946.9,0.3447,18989.7,0.3663,0.3516,7012.8,22.352,9885.2,10061.7,6.512,-5.093,3.343,18140000000,0.06885,0.19974,3984.1,4829289.344,19946.87446,57865.91126
Algeria,DZA,1981,D,19407,4738752,6.757,42.725,11.012,91805010424,2.87508E+11,24581606766,8.55,5187.4,60671.7,19373.2,0.3193,19093.6,0.3569,0.3436,6655.8,20.961,10260.5,9112.8,5.501,-5.701,2.158,12664000000,0.04405,0.13794,2672.4,4730510.147,19373.24646,60671.6773
Algeria,DZA,1982,D,20034,4896117,6.58,41.719,10.314,98865191090,3.09847E+11,27053531397,8.73,5525.5,63284.2,20192.6,0.3191,19141.9,0.3487,0.3705,7480.5,20.087,10088.1,10104.5,5.456,-4.58,2.095,10709000000,0.03456,0.10832,2187.2,4934870.275,20192.57119,63284.19126
Algeria,DZA,1983,D,20681,5068215,6.38,40.613,9.641,1.03966E+11,3.31691E+11,29666317527,8.94,5853.4,65445.2,20513.3,0.3134,19133,0.342,0.3792,7778.9,19.458,10163.4,10350,4.4,-4.11,0.983,14351000000,0.04327,0.13804,2831.6,5027128.17,20513.34398,65445.24101
Algeria,DZA,1984,D,21341,5246075,6.161,39.421,9.012,1.10167E+11,3.52327E+11,32537783721,9.24,6202.3,67160.2,20999.9,0.3127,19066.6,0.3369,0.3569,7495.4,20.108,10136,10863.9,3.779,-3.884,0.301,19390000000,0.05503,0.17601,3696.1,5162236.637,20999.94607,67160.15728
Algeria,DZA,1985,D,22008,5443717,5.928,38.166,8.444,1.13834E+11,3.74436E+11,33726515453,9.01,6195.5,68783.2,20911.1,0.304,18943.3,0.3334,0.3532,7385.2,19.665,10256.8,10654.3,4.517,-2.512,0.944,19849000000,0.05301,0.17437,3646.2,5172403.382,20911.12628,68783.15464
Algeria,DZA,1986,D,22643,5715745,5.686,36.881,7.946,1.17181E+11,3.86903E+11,35611275100,9.2,6230.4,67690.8,20501.4,0.3029,18766.2,0.3315,0.405,8302.2,18.022,8411.6,12089.8,4.881,-1.057,1.132,20801000000,0.05376,0.17751,3639.2,5175154.524,20501.44362,67690.8132
Algeria,DZA,1987,D,23255,6007930,5.441,35.593,7.514,1.19171E+11,3.88012E+11,37256443267,9.6,6201.2,64583.4,19835.5,0.3071,18539.8,0.3314,0.4021,7976.8,18.362,6385.8,13449.7,3.736,-0.763,-0.357,22940000000,0.05912,0.1925,3818.3,5124513.866,19835.54568,64583.38339
Algeria,DZA,1988,D,23881,6318213,5.195,34.322,7.142,1.1865E+11,3.89491E+11,40005988674,10.27,6331.9,61645.7,18779.1,0.3046,18270.8,0.3329,0.4114,7725.2,17.931,6565.9,12213.2,2.642,-0.57,-1.767,22893000000,0.05878,0.19295,3623.3,4968400.125,18779.10153,61645.74004
Algeria,DZA,1989,D,24496,6641453,4.954,33.075,6.827,1.22295E+11,3.91647E+11,41558389349,10.61,6257.4,58970.1,18413.9,0.3123,17966.9,0.336,0.387,7126.4,19.141,6582,11831.8,2.089,-0.027,-2.628,21829000000,0.05574,0.1785,3286.8,4992437.006,18413.85265,58970.06149
Algeria,DZA,1990,D,25089,6975085,4.713,31.824,6.564,1.24452E+11,3.92146E+11,41233163452,10.51,5911.5,56220.9,17842.4,0.3174,17636.5,0.3407,0.3248,5794.5,21.43,5983,11859.4,1.784,0.859,-3.174,21515000000,0.05486,0.17288,3084.6,4960427.939,17842.38852,56220.93794
Algeria,DZA,1991,D,25687,7311856,4.468,30.523,6.345,1.24578E+11,3.86063E+11,43902420449,11.37,6004.3,52799.6,17037.9,0.3227,17288.4,0.3469,0.2963,5048.8,22.707,5172.4,11865.5,1.224,1.268,-3.701,22214000000,0.05754,0.17831,3038.1,4849864.942,17037.87394,52799.61526
Algeria,DZA,1992,D,26298,7684527,4.216,29.149,6.158,1.25901E+11,3.75068E+11,45620517721,12.16,5936.7,48808.2,16383.8,0.3357,16931.5,0.3544,0.3175,5202.5,22.909,4505.8,11878,1.099,1.777,-3.824,22433000000,0.05981,0.17818,2919.2,4787491.599,16383.76104,48808.16294
Algeria,DZA,1993,D,26916,8081126,3.957,27.706,5.992,1.23521E+11,3.64002E+11,43573032902,11.97,5392,45043.5,15285.1,0.3393,16574.4,0.3632,0.3467,5299.9,22.168,4022.7,11262.4,0.805,2.158,-4.117,22491000000,0.06179,0.18208,2783.2,4589122.236,15285.09939,45043.50918
Algeria,DZA,1994,D,27521,8484858,3.697,26.232,5.841,1.22057E+11,3.54829E+11,43116798306,12.15,5081.6,41819.1,14385.3,0.344,16225.5,0.373,0.3159,4544.6,23.532,4000.5,10384.8,-0.039,1.936,-4.938,23548000000,0.06636,0.19293,2775.3,4435064.44,14385.32129,41819.08856
Algeria,DZA,1995,D,28089,8906872,3.446,24.799,5.7,1.2684E+11,3.45444E+11,43606927908,12.62,4895.9,38783.9,14240.7,0.3672,15891.6,0.3837,0.2839,4042.5,26.295,3842.2,10398.5,0.38,2.916,-4.509,25823000000,0.07475,0.20359,2899.2,4515647.087,14240.6909,38783.9459
Algeria,DZA,1996,D,28604,9343978,3.214,23.496,5.569,1.33639E+11,3.35309E+11,43105067569,12.86,4613.1,35885,14302.2,0.3986,15577.7,0.3951,0.2599,3716.5,29.499,3528.5,10773.7,1.404,4.223,-3.501,26334000000,0.07854,0.19705,2818.3,4672055.968,14302.205,35884.99387
Algeria,DZA,1997,D,29084,9780922,3.012,22.397,5.449,1.35041E+11,3.24013E+11,42981097031,13.27,4394.4,33127,13806.6,0.4168,15287.2,0.4069,0.2597,3585.8,30.853,3239.5,10567,1.402,4.328,-3.423,24051000000,0.07423,0.1781,2459,4643130.726,13806.5526,33127.04908
Algeria,DZA,1998,D,29536,10192772,2.845,21.548,5.343,1.42417E+11,3.19397E+11,42919925454,13.44,4210.8,31335.6,13972.4,0.4459,15022.2,0.4189,0.2807,3922.2,32.073,3757.9,10214.5,2.847,5.462,-1.796,29201000000,0.09143,0.20504,2864.9,4821814.576,13972.36349,31335.59389
Algeria,DZA,1999,D,29980,10630770,2.715,20.962,5.251,1.46926E+11,3.13511E+11,43404074533,13.84,4082.9,29490.9,13820.9,0.4686,14783.4,0.431,0.2648,3660.1,34.454,3529.2,10291.6,3.709,6.185,-0.801,25121000000,0.08013,0.17098,2363,4900812.391,13820.85733,29490.90253
Algeria,DZA,2000,D,30429,11073212,2.621,20.629,5.171,1.50073E+11,3.08063E+11,40358413537,13.1,3644.7,27820.6,13552.8,0.4872,14570.4,0.4429,0.2145,2907.5,38.264,3152.7,10400.1,3.364,5.654,-0.99,23979000000,0.07784,0.15978,2165.5,4931916.838,13552.82437,27820.58786
Algeria,DZA,2001,D,30874,11533511,2.558,20.508,5.104,1.54365E+11,3.11181E+11,37006652244,11.89,3208.6,26980.6,13384.1,0.4961,14381.7,0.4545,0.2282,3054.4,38.286,3478.9,9905.1,2.884,4.377,-1.327,22987000000,0.07387,0.14891,1993.1,4999842.735,13384.05492,26980.57402
Algeria,DZA,2002,D,31312,11948304,2.515,20.519,5.051,1.60755E+11,3.18107E+11,38445102236,12.09,3217.6,26623.6,13454.2,0.5053,14215.1,0.4657,0.2308,3105.2,38.872,3797.3,9656.9,3.486,3.854,-0.517,24776000000,0.07789,0.15412,2073.6,5133975.998,13454.21546,26623.63182
Algeria,DZA,2003,D,31741,12312293,2.483,20.589,5.01,1.72526E+11,3.26988E+11,39809594638,12.17,3233.3,26557.8,14012.5,0.5276,14067,0.4763,0.2159,3025.3,41.371,3954.6,10057.9,3.836,3.366,0.057,25234000000,0.07717,0.14626,2049.5,5435438.668,14012.52056,26557.82444
Algeria,DZA,2004,D,32158,12711619,2.457,20.672,4.979,1.81069E+11,3.41208E+11,40044132500,11.74,3150.2,26842.2,14244.4,0.5307,13933.4,0.4865,,,,4268.9,9975.5,4.179,2.486,0.604,24405000000,0.07153,0.13478,1919.9,5630600.504,14244.35794,26842.23002
Algeria,DZA,2005,D,32561,13079998,2.433,20.737,4.957,1.92029E+11,3.6012E+11,40021531357,11.11,3059.8,27532.1,14681.1,0.5332,13810,0.4962,,,,4505.6,10175.5,4.93,1.808,1.599,29214000000,0.08112,0.15213,2233.5,5897523.285,14681.138,27532.09949
Algeria,DZA,2006,D,32959,13489696,2.409,20.769,4.942,1.96411E+11,3.81357E+11,40513199136,10.62,3003.3,28270.3,14560.1,0.515,13692.9,0.5055,,,,4577.6,9982.5,4.818,0.751,1.684,29262000000,0.07673,0.14898,2169.2,5959246.83,14560.06246,28270.25476
Algeria,DZA,2007,D,33363,13873491,2.385,20.775,4.931,2.02264E+11,4.05714E+11,41578749736,10.25,2997,29243.8,14579.2,0.4985,13579.2,0.5145,,,,4752.6,9826.5,4.594,-0.271,1.606,30745000000,0.07578,0.152,2216.1,6062522.191,14579.16597,29243.81359
Algeria,DZA,2008,D,33770,14224649,2.363,20.759,4.924,2.08024E+11,4.26353E+11,43813910137,10.28,3080.1,29972.8,14624.2,0.4879,13466.6,0.5234,,,,4531.1,10093.1,3.742,-1.565,0.854,30353000000,0.07119,0.14591,2133.8,6160012.386,14624.1653,29972.84756
Angola,AGO,1983,D,7241,3163004,7.205,52.789,23.74,14524575573,27749303738,,,,8773.1,4592,0.5234,4972.1,0.6728,,,,945.2,3646.8,0.608,,-1.982,1395000000,0.05027,0.09604,441,2005879.792,4592.01935,8773.08525
Angola,AGO,1984,D,7442,3241502,7.207,52.841,23.643,16009295060,27741884399,3200698804,11.54,987.4,8558.3,4938.9,0.5771,4953.4,0.6724,,,,985.1,3953.7,2.423,,-0.233,1366000000,0.04924,0.08533,421.4,2151208.689,4938.850897,8558.342521
Angola,AGO,1985,D,7585,3296983,7.208,52.88,23.536,16088066691,27024581566,3241911963,12,983.3,8196.8,4879.6,0.5953,4941.4,0.6717,,,,765.7,4113.9,2.682,,0.471,1282000000,0.04744,0.07969,388.8,2121037.138,4879.632892,8196.760968
Angola,AGO,1986,D,7749,3361056,7.206,52.907,23.413,17453818996,26014554536,3174483327,12.2,944.5,7740,5193,0.6709,4935.8,0.6707,,,,644,4549,5.231,,3.056,1271000000,0.04886,0.07282,378.2,2252396.309,5192.956915,7739.994376
Angola,AGO,1987,D,7878,3405558,7.202,52.918,23.272,18575894104,25296524586,3193777026,12.63,937.8,7428,5454.6,0.7343,4936,0.669,,,,727,4727.6,5.798,,3.73,1586000000,0.0627,0.08538,465.7,2357945.431,5454.581629,7428.011676
