BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
107,Austria,1960,MF,25,999,2.2,91,55.1,4.6,3,2.2,1.4,3.7457,3.1939,0.4792,0.0726,4453,AUT,Advanced Economies
107,Austria,1965,MF,25,999,3.7,71.9,45.9,22,13.9,2.4,1.5,5.0368,3.3331,1.6254,0.0783,4529,AUT,Advanced Economies
107,Austria,1970,MF,25,999,4.3,57.3,38.1,35.8,22.6,2.6,1.7,6.0716,3.4435,2.5423,0.0857,4636,AUT,Advanced Economies
107,Austria,1975,MF,25,999,1.7,52.9,36.1,42.5,26.8,2.9,1.9,6.6985,3.596,3.0054,0.0971,4719,AUT,Advanced Economies
107,Austria,1980,MF,25,999,0.1,49.1,34.3,47.5,30.3,3.3,2.1,7.1856,3.7005,3.3762,0.1089,4759,AUT,Advanced Economies
107,Austria,1985,MF,25,999,0.1,43.9,31.1,51.8,33.6,4.3,2.8,7.643,3.7434,3.7572,0.1424,4901,AUT,Advanced Economies
107,Austria,1990,MF,25,999,0.1,39.1,28,54.7,36.6,6.1,4,8.1129,3.7735,4.1376,0.2018,5208,AUT,Advanced Economies
107,Austria,1995,MF,25,999,0.5,34.6,25.5,56.6,38.9,8.2,5.5,8.5489,3.7954,4.4791,0.2744,5617,AUT,Advanced Economies
107,Austria,2000,MF,25,999,1,30.4,22.5,57.1,40.2,11.5,7.7,9.0002,3.8015,4.8132,0.3854,5806,AUT,Advanced Economies
107,Austria,2005,MF,25,999,1.5,25.5,18.9,57.1,39.6,16,10.7,9.4862,3.8106,5.1432,0.5324,5949,AUT,Advanced Economies
107,Austria,2010,MF,25,999,1.5,22.2,16.6,62,45.8,14.3,9.5,9.7624,3.8289,5.4573,0.4763,6119,AUT,Advanced Economies
108,Belgium,1950,MF,25,999,2.8,73.5,50.7,20.7,6.1,3,2.1,6.2313,5.1457,0.9841,0.1015,5554,BEL,Advanced Economies
108,Belgium,1955,MF,25,999,2.5,70.5,48.8,23.5,6.9,3.4,2.4,6.4358,5.1984,1.1199,0.1175,5742,BEL,Advanced Economies
108,Belgium,1960,MF,25,999,2.2,67.9,47.1,26.1,7.7,3.8,2.8,6.6195,5.2453,1.2421,0.1322,5884,BEL,Advanced Economies
108,Belgium,1965,MF,25,999,1.4,66.9,46.6,27.2,8.1,4.5,3.3,6.7955,5.3099,1.3296,0.156,5933,BEL,Advanced Economies
108,Belgium,1970,MF,25,999,0.8,65.3,45.8,28.7,8.8,5.2,3.9,6.9845,5.3658,1.437,0.1817,5935,BEL,Advanced Economies
108,Belgium,1975,MF,25,999,1.1,59.2,43.3,32.9,15.1,6.8,5.1,7.5444,5.4581,1.8476,0.2388,6097,BEL,Advanced Economies
108,Belgium,1980,MF,25,999,1.4,53,39.6,36.9,18.9,8.8,6.7,8.0305,5.5186,2.2011,0.3108,6297,BEL,Advanced Economies
108,Belgium,1985,MF,25,999,1.8,46.7,35.2,40.4,21.6,11.1,8.6,8.4713,5.5475,2.528,0.3958,6488,BEL,Advanced Economies
108,Belgium,1990,MF,25,999,2.3,34.6,25.7,45.7,25.4,17.4,13.6,9.3899,5.5918,3.1778,0.6202,6768,BEL,Advanced Economies
108,Belgium,1995,MF,25,999,2.9,29.8,21.5,47.3,27.2,19.9,15.6,9.7154,5.5739,3.4304,0.7111,7023,BEL,Advanced Economies
108,Belgium,2000,MF,25,999,3.5,25.4,17.4,48.3,28.8,22.8,17.9,10.0432,5.5498,3.6805,0.8129,7265,BEL,Advanced Economies
108,Belgium,2005,MF,25,999,3.5,19.8,13.4,50,31,26.8,21,10.5918,5.6004,4.0356,0.9558,7428,BEL,Advanced Economies
108,Belgium,2010,MF,25,999,4.5,17.7,11.1,51.8,33.3,25.9,20.4,10.5664,5.531,4.1092,0.9262,7569,BEL,Advanced Economies
50,Canada,1950,MF,25,999,2.4,52.6,25.2,36.1,15.9,8.8,5.1,7.396,5.0288,2.0891,0.2781,7472,CAN,Advanced Economies
50,Canada,1955,MF,25,999,2,50,24.8,37,16.7,11.1,6.4,7.7465,5.124,2.2723,0.3502,8420,CAN,Advanced Economies
50,Canada,1960,MF,25,999,1.7,47.2,24.1,37.9,17.5,13.1,7.7,8.064,5.1996,2.448,0.4164,9294,CAN,Advanced Economies
50,Canada,1965,MF,25,999,1.6,42.7,22.4,41.8,16.4,13.9,8.3,8.3234,5.2975,2.5818,0.4441,9956,CAN,Advanced Economies
50,Canada,1970,MF,25,999,1.4,38.4,20,46.2,17.7,14,8.4,8.5702,5.364,2.7578,0.4484,11130,CAN,Advanced Economies
50,Canada,1975,MF,25,999,1.8,30.7,12.2,51.3,20.1,16.2,10.1,8.9753,5.337,3.1131,0.5252,12547,CAN,Advanced Economies
50,Canada,1980,MF,25,999,2,23.7,9.5,56.4,22.6,17.9,11.3,9.4833,5.454,3.4452,0.5841,14099,CAN,Advanced Economies
50,Canada,1985,MF,25,999,1.2,19.9,7.8,59.5,24.8,19.3,12.5,9.891,5.564,3.6895,0.6375,15822,CAN,Advanced Economies
50,Canada,1990,MF,25,999,1,15.6,6,62,27.7,21.4,14.6,10.3457,5.6528,3.9737,0.7192,17906,CAN,Advanced Economies
50,Canada,1995,MF,25,999,1,13,5.3,62,29.4,24,16.7,10.71,5.7104,4.1842,0.8155,19341,CAN,Advanced Economies
50,Canada,2000,MF,25,999,1,10.6,4,61.4,31,26.9,19.6,11.0593,5.7401,4.3878,0.9315,20702,CAN,Advanced Economies
50,Canada,2005,MF,25,999,0.7,7.2,3,48.2,30.5,43.9,31.9,12.3447,5.8326,4.9951,1.517,22247,CAN,Advanced Economies
50,Canada,2010,MF,25,999,0.6,5.9,2.6,55.2,37.5,38.2,28,12.2585,5.8604,5.0737,1.3244,23793,CAN,Advanced Economies
110,Denmark,1950,MF,25,999,5.4,66.3,39.8,21.1,10.5,7.3,4.7,7.3201,5.6973,1.3829,0.24,2560,DNK,Advanced Economies
110,Denmark,1955,MF,25,999,5,65.3,39.4,22,10.8,7.7,5,7.4462,5.7446,1.448,0.2536,2664,DNK,Advanced Economies
110,Denmark,1960,MF,25,999,4.6,63.7,38.8,23.4,11.4,8.3,5.4,7.6156,5.8024,1.5404,0.2728,2740,DNK,Advanced Economies
110,Denmark,1965,MF,25,999,4.2,61.6,39.5,25.1,12.2,9.1,5.9,7.8962,5.9315,1.6646,0.3001,2835,DNK,Advanced Economies
110,Denmark,1970,MF,25,999,3.8,58.7,39.3,27.2,13.4,10.3,6.7,8.2386,6.0581,1.8395,0.341,2991,DNK,Advanced Economies
110,Denmark,1975,MF,25,999,3.3,54.9,37.7,29.8,15.6,12,7.8,8.642,6.1653,2.0816,0.3951,3172,DNK,Advanced Economies
110,Denmark,1980,MF,25,999,2.9,51.8,36.4,31.5,17.1,13.8,9,8.9999,6.2583,2.2857,0.4558,3288,DNK,Advanced Economies
110,Denmark,1985,MF,25,999,2.3,43.7,30.9,35.4,19.7,18.6,12.3,9.7825,6.3935,2.7703,0.6187,3381,DNK,Advanced Economies
110,Denmark,1990,MF,25,999,0.1,48.9,34.7,36.2,20.7,14.9,9.8,9.5899,6.4979,2.5985,0.4935,3500,DNK,Advanced Economies
110,Denmark,1995,MF,25,999,0.1,45.4,33,37,21.5,17.5,11.7,9.9468,6.5575,2.8057,0.5836,3622,DNK,Advanced Economies
110,Denmark,2000,MF,25,999,0.1,43,31.8,40.2,24,16.7,11.2,9.993,6.5042,2.9301,0.5587,3738,DNK,Advanced Economies
110,Denmark,2005,MF,25,999,0.1,40.3,30.3,42.5,25.5,17.1,11.4,10.098,6.461,3.0667,0.5703,3812,DNK,Advanced Economies
110,Denmark,2010,MF,25,999,0.1,37.8,28.6,43.2,26.5,19,12.6,10.2743,6.4155,3.2283,0.6306,3842,DNK,Advanced Economies
111,Finland,1950,MF,25,999,0.9,91.2,55.1,4.9,1.4,3,1.6,5.3246,4.8648,0.368,0.0918,2170,FIN,Advanced Economies
111,Finland,1955,MF,25,999,0.7,90.3,54.9,5.4,1.4,3.6,1.9,5.4211,4.8949,0.4176,0.1086,2304,FIN,Advanced Economies
111,Finland,1960,MF,25,999,0.7,89.2,54.8,6,1.5,4.1,2.2,5.5232,4.9272,0.4703,0.1257,2407,FIN,Advanced Economies
111,Finland,1965,MF,25,999,0.9,79.5,51.5,14.4,3.6,5.1,2.8,6.1101,5.1047,0.8473,0.1581,2493,FIN,Advanced Economies
111,Finland,1970,MF,25,999,1,68.9,46.3,24,6.2,6.1,3.4,6.7229,5.2618,1.272,0.1891,2599,FIN,Advanced Economies
111,Finland,1975,MF,25,999,1.3,62.6,43.2,26.4,16.3,9.6,5.4,7.4979,5.337,1.8598,0.3011,2854,FIN,Advanced Economies
111,Finland,1980,MF,25,999,1.4,53.7,37.9,33.2,24.7,11.7,6.7,8.2518,5.443,2.4399,0.3689,3044,FIN,Advanced Economies
111,Finland,1985,MF,25,999,1.2,54.3,38.7,30.6,19.1,13.8,7.7,8.2048,5.4565,2.3193,0.429,3222,FIN,Advanced Economies
111,Finland,1990,MF,25,999,0.1,55.5,39.6,30.6,17.7,13.8,7.5,8.2212,5.517,2.2779,0.4264,3372,FIN,Advanced Economies
111,Finland,1995,MF,25,999,0.3,43.2,31.4,36.2,20.4,20.2,10.8,9.1574,5.6254,2.9122,0.6198,3504,FIN,Advanced Economies
111,Finland,2000,MF,25,999,0.7,54.9,40.5,30.6,17.4,13.8,7.1,8.2107,5.5247,2.2677,0.4183,3577,FIN,Advanced Economies
111,Finland,2005,MF,25,999,0.4,33.1,24.8,36.4,19.3,30,15,10.0972,5.7243,3.4729,0.9,3685,FIN,Advanced Economies
111,Finland,2010,MF,25,999,0.4,29.5,22.3,42.7,26.4,27.4,13.1,10.2863,5.76,3.7169,0.8094,3792,FIN,Advanced Economies
112,France,1950,MF,25,999,0.4,88.9,37.7,9,2.5,1.6,1.1,4.3066,3.7006,0.552,0.054,25976,FRA,Advanced Economies
112,France,1955,MF,25,999,0.4,87.5,38.6,10.3,2.6,1.8,1.2,4.4335,3.7583,0.616,0.0591,26838,FRA,Advanced Economies
112,France,1960,MF,25,999,0.3,90.1,30.8,7.5,2.8,2.1,1.3,4.1019,3.5019,0.531,0.069,27972,FRA,Advanced Economies
112,France,1965,MF,25,999,0.6,87.1,35.3,9.3,4.1,3,1.9,4.4805,3.6763,0.7064,0.0979,29211,FRA,Advanced Economies
112,France,1970,MF,25,999,0.8,82.4,37.6,12.2,5.5,4.5,2.8,4.952,3.8372,0.9693,0.1456,29853,FRA,Advanced Economies
112,France,1975,MF,25,999,1.1,75.2,33.4,17,7.5,6.7,4,5.4794,3.8973,1.3695,0.2125,31622,FRA,Advanced Economies
112,France,1980,MF,25,999,1.1,68.1,28.8,22.3,8.3,8.5,4.6,5.9598,3.9624,1.736,0.2613,33349,FRA,Advanced Economies
112,France,1985,MF,25,999,6.3,55.1,23.7,29.2,14.5,9.4,5.2,6.4489,3.8988,2.2587,0.2915,34983,FRA,Advanced Economies
112,France,1990,MF,25,999,9.7,41.6,17.7,36.9,20.3,11.4,6.2,7.1424,3.9025,2.8876,0.3524,36731,FRA,Advanced Economies
112,France,1995,MF,25,999,5.8,33.7,14.1,46.8,27.4,13.7,7.2,8.295,4.2209,3.6553,0.4188,39018,FRA,Advanced Economies
112,France,2000,MF,25,999,3.1,26.3,10.8,53.6,33.1,17,8.8,9.2981,4.4566,4.3267,0.5148,40546,FRA,Advanced Economies
112,France,2005,MF,25,999,1.7,24.2,9.7,54.3,35.9,19.8,10,9.7868,4.5538,4.6365,0.5965,41792,FRA,Advanced Economies
112,France,2010,MF,25,999,1.4,16.6,6.5,60.7,40.1,21.3,10.6,10.4313,4.6755,5.1194,0.6364,43012,FRA,Advanced Economies
190,Germany,1950,MF,25,999,0.4,78.4,46.8,18.1,3,3.1,2,4.9093,3.3518,1.454,0.1035,42715,DEU,Advanced Economies
190,Germany,1955,MF,25,999,0.4,77.8,46.8,18.5,3.9,3.2,2.1,4.9872,3.3636,1.5177,0.1058,44310,DEU,Advanced Economies
190,Germany,1960,MF,25,999,0.4,77.3,46.9,19,5,3.3,2.1,5.0677,3.3756,1.5836,0.1085,45828,DEU,Advanced Economies
190,Germany,1965,MF,25,999,0.7,76,48.8,19.8,6.5,3.4,2.2,5.2341,3.4275,1.6936,0.113,48618,DEU,Advanced Economies
190,Germany,1970,MF,25,999,0.8,77.1,51.6,19,7.5,3.1,2,5.2037,3.4574,1.6441,0.1022,50008,DEU,Advanced Economies
190,Germany,1975,MF,25,999,0.6,78.3,53.5,15.6,7.1,5.5,3.6,5.3052,3.4799,1.6439,0.1814,50352,DEU,Advanced Economies
190,Germany,1980,MF,25,999,0.2,75.4,52.8,17.5,9.1,6.9,4.5,5.7095,3.5391,1.9427,0.2277,51187,DEU,Advanced Economies
190,Germany,1985,MF,25,999,1.3,71.5,50.5,19.5,11.3,7.7,5.1,5.9858,3.529,2.2007,0.2561,52402,DEU,Advanced Economies
190,Germany,1990,MF,25,999,3.3,47.8,34,35.9,22.9,13,8.6,8.0433,3.5938,4.0166,0.433,55794,DEU,Advanced Economies
190,Germany,1995,MF,25,999,4.5,32.7,23.8,46.3,31.8,16.5,11,9.4141,3.6431,5.2199,0.551,59169,DEU,Advanced Economies
190,Germany,2000,MF,25,999,5.4,21.1,15.6,53.7,38.8,19.7,13.2,10.4935,3.6722,6.1621,0.6592,60327,DEU,Advanced Economies
190,Germany,2005,MF,25,999,4.8,2.9,2.2,71.8,53.6,20.5,13.7,12.2369,3.7932,7.7601,0.6836,61065,DEU,Advanced Economies
190,Germany,2010,MF,25,999,4.3,3.7,2.8,72.7,55.4,19.3,12.8,12.2085,3.8083,7.7589,0.6412,62067,DEU,Advanced Economies
114,Greece,1950,MF,25,999,31.9,53.3,16.7,12.8,7.5,2,1.8,3.7917,2.988,0.7279,0.0758,3894,GRC,Advanced Economies
114,Greece,1955,MF,25,999,24.3,48.7,18.6,25.2,15.3,1.8,1.8,5.0396,3.6395,1.3262,0.0738,4327,GRC,Advanced Economies
114,Greece,1960,MF,25,999,15.5,37.2,16.7,44.8,28.3,2.5,2.5,6.8975,4.4562,2.3415,0.0998,4759,GRC,Advanced Economies
114,Greece,1965,MF,25,999,16.2,50.4,26.2,30.9,20.1,2.5,2.5,6.0811,4.303,1.679,0.0991,5059,GRC,Advanced Economies
114,Greece,1970,MF,25,999,15.5,54.5,31.4,26.5,17.4,3.5,3.5,6.0394,4.3755,1.5247,0.1392,5311,GRC,Advanced Economies
114,Greece,1975,MF,25,999,13.3,58.2,38,23.1,15.5,5.4,5.3,6.2881,4.5943,1.4807,0.2131,5543,GRC,Advanced Economies
114,Greece,1980,MF,25,999,11.5,61.2,44.3,19.7,13.6,7.6,7.2,6.5535,4.803,1.455,0.2955,6020,GRC,Advanced Economies
114,Greece,1985,MF,25,999,10,56.4,44.1,24.5,20.4,9,8.4,7.2669,5.0299,1.8886,0.3485,6317,GRC,Advanced Economies
114,Greece,1990,MF,25,999,8.9,50.7,40.2,29.8,26.8,10.6,9.8,7.8887,5.1491,2.3322,0.4075,6663,GRC,Advanced Economies
114,Greece,1995,MF,25,999,12,41.2,35.6,33.4,25.1,13.4,12.2,8.1819,5.1134,2.5575,0.511,7244,GRC,Advanced Economies
114,Greece,2000,MF,25,999,12.8,34.3,30.9,37.5,26.9,15.3,14.1,8.5692,5.1285,2.8526,0.5881,7722,GRC,Advanced Economies
114,Greece,2005,MF,25,999,3.3,38.4,33.7,35,25.7,23.3,21.4,9.7731,5.6606,3.2183,0.8943,8152,GRC,Advanced Economies
114,Greece,2010,MF,25,999,1.9,30,28.2,43.9,32.3,24.2,22.4,10.499,5.8309,3.7372,0.9308,8455,GRC,Advanced Economies
116,Iceland,1950,MF,25,999,1.4,90,54.3,6.1,3,2.5,1.6,5.4063,4.8436,0.4797,0.083,75,ISL,Advanced Economies
116,Iceland,1955,MF,25,999,1.3,87.4,53.2,8.2,4.1,3.2,2,5.6352,4.9003,0.6308,0.1042,81,ISL,Advanced Economies
116,Iceland,1960,MF,25,999,1.1,85.4,52.4,9.8,4.8,3.7,2.4,5.8122,4.9433,0.7468,0.122,89,ISL,Advanced Economies
116,Iceland,1965,MF,25,999,1,82.1,53.1,12.6,6.2,4.3,2.8,6.1415,5.0714,0.9279,0.1422,94,ISL,Advanced Economies
116,Iceland,1970,MF,25,999,0.9,78.1,52.6,16,7.9,5,3.2,6.4965,5.1832,1.1484,0.1649,99,ISL,Advanced Economies
116,Iceland,1975,MF,25,999,0.7,73.1,50.4,20.3,10.7,6,3.9,6.9329,5.2804,1.4561,0.1964,110,ISL,Advanced Economies
116,Iceland,1980,MF,25,999,0.7,67,47.5,24.5,13.5,7.7,5,7.4441,5.3726,1.8162,0.2553,121,ISL,Advanced Economies
116,Iceland,1985,MF,25,999,1.1,61.1,43.7,27.7,15.7,10.1,6.7,7.9206,5.4166,2.1677,0.3364,134,ISL,Advanced Economies
116,Iceland,1990,MF,25,999,1.2,55.7,40,31,18,12.1,8,8.3628,5.4606,2.5,0.4021,150,ISL,Advanced Economies
116,Iceland,1995,MF,25,999,1.2,50.7,37.1,34.1,20,14.1,9.4,8.8067,5.5256,2.8103,0.4708,161,ISL,Advanced Economies
116,Iceland,2000,MF,25,999,1.3,45.4,33.8,36,21.7,17.4,11.6,9.3191,5.5779,3.1619,0.5794,173,ISL,Advanced Economies
116,Iceland,2005,MF,25,999,1.3,40,30.3,37.2,22.6,21.5,14.3,9.8786,5.6354,3.5261,0.717,187,ISL,Advanced Economies
116,Iceland,2010,MF,25,999,1.3,36.8,28.2,34.3,21.3,27.7,18.3,10.4057,5.6666,3.8183,0.9208,198,ISL,Advanced Economies
117,Ireland,1950,MF,25,999,6.1,71.5,42.7,19,9.4,3.4,2.2,7.3997,6.3587,0.9284,0.1127,1666,IRL,Advanced Economies
117,Ireland,1955,MF,25,999,5.4,69.9,42.1,21,10.3,3.7,2.4,7.5876,6.4498,1.0171,0.1207,1630,IRL,Advanced Economies
117,Ireland,1960,MF,25,999,4.8,67.4,40.8,23.7,11.6,4.1,2.6,7.8318,6.5514,1.1464,0.134,1559,IRL,Advanced Economies
117,Ireland,1965,MF,25,999,4.2,64.6,41.4,26.7,13,4.5,2.9,8.169,6.7352,1.2854,0.1484,1535,IRL,Advanced Economies
117,Ireland,1970,MF,25,999,3.8,64.2,42.9,27.4,13.4,4.6,3,8.3148,6.8425,1.3206,0.1517,1565,IRL,Advanced Economies
117,Ireland,1975,MF,25,999,3.2,56.9,39,33.7,17.7,6.1,3.9,8.8927,7.0223,1.6697,0.2007,1651,IRL,Advanced Economies
117,Ireland,1980,MF,25,999,2.8,49.5,34.9,39.8,21.7,7.9,5.1,9.476,7.1928,2.0227,0.2605,1770,IRL,Advanced Economies
117,Ireland,1985,MF,25,999,2.4,42.9,30.5,42.9,24.1,11.8,7.8,10.0655,7.3148,2.3593,0.3914,1871,IRL,Advanced Economies
117,Ireland,1990,MF,25,999,2.2,39.5,28.2,43.7,25.2,14.6,9.6,10.4019,7.3718,2.5453,0.4848,1953,IRL,Advanced Economies
117,Ireland,1995,MF,25,999,4.2,30,21.9,46.8,27.3,19.1,12.7,10.8847,7.3448,2.9042,0.6357,2104,IRL,Advanced Economies
117,Ireland,2000,MF,25,999,5.2,22.8,17,46.8,28.2,25.2,16.8,11.1807,7.1129,3.2276,0.8402,2317,IRL,Advanced Economies
117,Ireland,2005,MF,25,999,4.5,18.2,13.8,49.5,30.2,27.8,18.5,11.3959,6.9919,3.4778,0.9262,2693,IRL,Advanced Economies
117,Ireland,2010,MF,25,999,3.8,14.4,11,51.3,32.1,30.6,20.3,11.6121,6.8865,3.7093,1.0163,2970,IRL,Advanced Economies
118,Italy,1950,MF,25,999,16.1,73.1,41.9,9.3,3.8,1.5,1,4.0533,3.4143,0.589,0.0499,26679,ITA,Advanced Economies
118,Italy,1955,MF,25,999,14.3,72.2,43.3,11.7,4.5,1.7,1.1,4.3286,3.5598,0.712,0.0568,28327,ITA,Advanced Economies
118,Italy,1960,MF,25,999,12.5,71.4,44.4,13.9,5.2,2.1,1.4,4.6091,3.6948,0.845,0.0693,29966,ITA,Advanced Economies
118,Italy,1965,MF,25,999,9.4,72.8,47.4,15.6,5.5,2.2,1.4,4.8872,3.8951,0.92,0.0722,31592,ITA,Advanced Economies
118,Italy,1970,MF,25,999,7.3,72.6,48.9,17.5,6.2,2.6,1.7,5.1704,4.0425,1.0421,0.0858,32643,ITA,Advanced Economies
118,Italy,1975,MF,25,999,8.9,64.2,48,23.9,8.6,3,2,5.6375,4.1494,1.3875,0.1006,34128,ITA,Advanced Economies
118,Italy,1980,MF,25,999,10,56.7,45.7,29.2,11.2,4.1,2.7,6.1243,4.225,1.764,0.1353,35253,ITA,Advanced Economies
118,Italy,1985,MF,25,999,10.2,48.2,41.1,36.8,14.9,4.8,3.2,6.7137,4.3163,2.2364,0.161,36242,ITA,Advanced Economies
118,Italy,1990,MF,25,999,9.8,40.5,36,43.7,18.4,6,4,7.3042,4.3963,2.7093,0.1985,38898,ITA,Advanced Economies
118,Italy,1995,MF,25,999,9,33.5,30.6,49.8,21.5,7.8,5.2,7.9333,4.4828,3.1916,0.2589,40718,ITA,Advanced Economies
118,Italy,2000,MF,25,999,7.9,27.6,25.6,55.1,26.1,9.4,6.3,8.5794,4.5556,3.71,0.3137,42782,ITA,Advanced Economies
118,Italy,2005,MF,25,999,7.8,23.5,22,58.7,30.4,10.1,6.7,8.9992,4.576,4.0876,0.3355,44026,ITA,Advanced Economies
118,Italy,2010,MF,25,999,6.2,20.7,19,63.1,32.5,10,6.6,9.2975,4.6453,4.3192,0.333,44510,ITA,Advanced Economies
90,Japan,1950,MF,25,999,5.7,71.7,43.5,18.2,11.1,4.5,1.8,6.0912,4.8154,1.1492,0.1266,37585,JPN,Advanced Economies
90,Japan,1955,MF,25,999,4.1,65.2,40,25.2,15.7,5.5,2.4,6.7051,4.994,1.5546,0.1565,42508,JPN,Advanced Economies
90,Japan,1960,MF,25,999,2.9,59.9,37.1,30.9,19.7,6.3,3,7.2257,5.1431,1.8961,0.1864,47918,JPN,Advanced Economies
90,Japan,1965,MF,25,999,1.6,60.8,39.8,31.9,20.7,5.7,2.9,7.3686,5.2755,1.9214,0.1718,53289,JPN,Advanced Economies
90,Japan,1970,MF,25,999,0.9,60.6,41.3,33,21.7,5.5,3,7.5072,5.3663,1.971,0.1699,59429,JPN,Advanced Economies
90,Japan,1975,MF,25,999,0.5,51.6,36,37.1,24.6,10.8,6.2,8.3375,5.4991,2.4986,0.3397,67253,JPN,Advanced Economies
90,Japan,1980,MF,25,999,0.3,45.4,32.3,39.7,26.5,14.3,8.9,8.8788,5.5694,2.8448,0.4646,73123,JPN,Advanced Economies
90,Japan,1985,MF,25,999,0.3,39.4,28,42.4,28.4,17.9,11.9,9.4397,5.642,3.2005,0.5971,77682,JPN,Advanced Economies
90,Japan,1990,MF,25,999,0.3,34.2,24.3,44.5,29.9,21.1,14,9.888,5.6894,3.4973,0.7013,82020,JPN,Advanced Economies
90,Japan,1995,MF,25,999,0.2,29.8,21.6,45.5,30.6,24.4,16.3,10.3042,5.7394,3.7503,0.8146,86996,JPN,Advanced Economies
90,Japan,2000,MF,25,999,0.2,25.6,18.8,45.8,30.8,28.4,19,10.7401,5.7855,4.0056,0.949,92337,JPN,Advanced Economies
90,Japan,2005,MF,25,999,0.2,21.9,16.4,45.6,30.7,32.3,21.5,11.1246,5.823,4.2254,1.0762,96046,JPN,Advanced Economies
90,Japan,2010,MF,25,999,0.1,18.7,14.1,45,30.2,36.1,23.9,11.4767,5.8516,4.4238,1.2013,98160,JPN,Advanced Economies
119,Luxembourg,1950,MF,25,999,1.3,74.5,44.6,20.9,10.4,3.3,2.1,6.4107,5.0261,1.2756,0.1089,188,LUX,Advanced Economies
119,Luxembourg,1955,MF,25,999,1.2,72,43.5,23.1,11.4,3.7,2.4,6.6061,5.0744,1.4095,0.1223,201,LUX,Advanced Economies
119,Luxembourg,1960,MF,25,999,1.1,69.3,42.3,25.4,12.5,4.2,2.7,6.8176,5.1244,1.5551,0.138,205,LUX,Advanced Economies
119,Luxembourg,1965,MF,25,999,1,65.7,42.2,28.2,13.7,5.2,3.4,7.1671,5.2385,1.7577,0.1709,215,LUX,Advanced Economies
119,Luxembourg,1970,MF,25,999,0.9,62.1,41.5,30.9,15.2,6.2,4,7.5039,5.333,1.9672,0.2037,217,LUX,Advanced Economies
119,Luxembourg,1975,MF,25,999,1.2,57,39.1,34.1,17.9,7.8,5,7.9323,5.3933,2.2831,0.2559,230,LUX,Advanced Economies
119,Luxembourg,1980,MF,25,999,1.5,52.7,37,36.7,20,9.1,5.9,8.2818,5.4422,2.5394,0.3002,238,LUX,Advanced Economies
119,Luxembourg,1985,MF,25,999,1.9,47.9,34,39.9,22.4,10.3,6.8,8.6181,5.4669,2.81,0.3413,247,LUX,Advanced Economies
119,Luxembourg,1990,MF,25,999,2.8,45,32.2,41.2,23.8,11,7.3,8.7786,5.4497,2.9622,0.3667,261,LUX,Advanced Economies
119,Luxembourg,1995,MF,25,999,3.8,37.4,27.3,45,26.2,13.9,9.2,9.3032,5.4707,3.3705,0.4621,277,LUX,Advanced Economies
