Economy,Year,Ease of Doing Business Rank,Starting a Business - Rank,Starting a Business - Procedures (number),Starting a Business - Time (days),Starting a Business - Cost (% of income per capita),Starting a Business - Paid-in Min. Capital (% of income per capita),Dealing with Construction Permits - Rank,Dealing with Construction Permits - Procedures (number),Dealing with Construction Permits - Time (days),Dealing with Construction Permits - Cost (% of income per capita),Getting Electricity - Rank,Getting Electricity - Procedures (number),Getting Electricity - Time (days),Getting Electricity - Cost (% of income per capita),Registering Property - Rank,Registering Property - Procedures (number),Registering Property - Time (days),Registering Property - Cost (% of property value),Getting Credit - Rank,Getting Credit - Strength of legal rights index (0-10),Getting Credit - Depth of credit information index (0-6),Getting Credit - Public registry coverage (% of adults),Getting Credit - Private bureau coverage (% of adults),Protecting Investors - Rank,Protecting Investors - Extent of disclosure index (0-10),Protecting Investors - Extent of director liability index (0-10),Protecting Investors - Ease of shareholder suits index (0-10),Protecting Investors - Strength of investor protection index (0-10),Paying Taxes - Rank,Paying Taxes - Payments (number per year),Paying Taxes - Time (hours per year),Paying Taxes - Profit tax (%),Paying Taxes - Labor tax and contributions (%),Paying Taxes - Other taxes (%),Paying Taxes - Total tax rate (% profit),Trading Across Borders - Rank,Trading Across Borders - Documents to export (number),Trading Across Borders - Time to export (days),Trading Across Borders - Cost to export (US$ per container),Trading Across Borders - Documents to import (number),Trading Across Borders - Time to import (days),Trading Across Borders - Cost to import (US$ per container),Enforcing Contracts - Rank,Enforcing Contracts - Time (days),Enforcing Contracts - Cost (% of claim),Enforcing Contracts - Procedures (number),Resolving Insolvency - Rank,Resolving Insolvency - Time (years),Resolving Insolvency - Cost (% of estate),Resolving Insolvency - Recovery rate (cents on the dollar)
Albania,DB2010,..,..,5,5,31.8,0,..,23,331,374.6,..,6,177,614.5,..,6,42,13.1,..,9,4,9.9,0,..,8,9,5,7.3,..,44,368,..,..,..,44.6,..,7,19,725,8,18,710,..,390,38.7,39,..,2,10,38.7
Albania,DB2011,77,56,5,5,31.4,0,176,23,331,370,154,6,177,614.9,126,6,42,12.8,21,9,4,8.3,0,15,8,9,5,7.3,150,44,360,..,..,..,40.6,76,7,19,725,8,18,710,88,390,35.7,39,62,2,10,38.9
Albania,DB2012,82,61,5,5,29,0,183,no practice,no practice,no practice,154,6,177,585.6,118,6,33,11.9,24,9,4,12,0,16,8,9,5,7.3,152,44,371,8.7,25,4.8,38.5,76,7,19,745,8,18,730,85,390,35.7,39,64,2,10,40.2
Algeria,DB2004,..,..,14,25,16.3,73.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,630,21.9,47,..,2.5,7,41.7
Algeria,DB2005,..,..,14,25,14.6,65.5,..,..,..,..,..,..,..,..,..,14,51,7.5,..,3,1,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,630,21.9,47,..,2.5,7,41.7
Algeria,DB2006,..,..,14,25,12.4,55.1,..,19,281,41.6,..,..,..,..,..,14,51,7.5,..,3,1,..,0,..,6,6,4,5.3,..,41,451,..,..,..,76.9,..,9,15,"1,606",9,22,"1,776",..,630,21.9,47,..,2.5,7,41.7
Algeria,DB2007,..,..,14,25,13.4,46,..,19,281,34.7,..,..,..,..,..,14,51,7.5,..,3,2,0.2,0,..,6,6,4,5.3,..,41,451,..,..,..,76.9,..,9,15,"1,606",9,22,"1,776",..,630,21.9,47,..,2.5,7,41.7
Algeria,DB2008,..,..,14,25,13.2,45.2,..,19,281,34.1,..,..,..,..,..,14,51,7.5,..,3,2,0.2,0,..,6,6,4,5.3,..,29,451,..,..,..,74.2,..,8,17,"1,198",9,23,"1,268",..,630,21.9,47,..,2.5,7,41.7
Algeria,DB2009,..,..,14,25,10.8,36.6,..,19,281,27.6,..,..,..,..,..,14,51,7.5,..,3,2,0.2,0,..,6,6,4,5.3,..,29,451,..,..,..,74.2,..,8,17,"1,248",9,23,"1,318",..,630,21.9,47,..,2.5,7,41.7
Algeria,DB2010,..,..,14,25,12.1,31,..,19,281,23.4,..,6,159,"1,596.50",..,10,48,7.1,..,3,2,0.2,0,..,6,6,4,5.3,..,29,451,..,..,..,72,..,8,17,"1,248",9,23,"1,318",..,630,21.9,45,..,2.5,7,41.7
Algeria,DB2011,143,150,14,25,12.9,34.4,117,19,281,26,165,6,159,"1,774.50",165,10,48,7.1,139,3,2,0.2,0,74,6,6,4,5.3,162,29,451,..,..,..,72,123,8,17,"1,248",9,23,"1,318",123,630,21.9,45,52,2.5,7,41.7
Algeria,DB2012,148,153,14,25,12.1,30.6,118,19,281,23.1,164,6,159,"1,579.00",167,10,48,7.1,150,3,3,0.3,0,79,6,6,4,5.3,164,29,451,6.6,29.7,35.7,72,127,8,17,"1,248",9,27,"1,318",122,630,21.9,45,59,2.5,7,41.7
Angola,DB2004,..,..,12,119,"1,316.40",949.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,011",44.4,46,..,6.2,22,0.5
Angola,DB2005,..,..,12,119,910,495.6,..,..,..,..,..,..,..,..,..,7,334,11.2,..,3,3,1.8,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"1,011",44.4,46,..,6.2,22,0.4
Angola,DB2006,..,..,12,119,653.8,485.4,..,13,321,625.2,..,..,..,..,..,7,334,11.1,..,3,3,2.9,0,..,5,6,6,5.7,..,31,272,..,..,..,53.2,..,12,64,"1,450",8,58,"1,925",..,"1,011",44.4,46,..,6.2,22,0.6
Angola,DB2007,..,..,12,119,498.2,74.1,..,13,321,462.6,..,..,..,..,..,7,334,11.1,..,3,3,2.9,0,..,5,6,6,5.7,..,31,272,..,..,..,53.2,..,12,64,"1,450",8,58,"1,925",..,"1,011",44.4,46,..,6.2,22,2
Angola,DB2008,..,..,12,119,343.7,50.5,..,13,321,414,..,..,..,..,..,7,334,11.1,..,3,3,2.3,0,..,5,6,6,5.7,..,31,272,..,..,..,53.2,..,12,64,"1,450",8,58,"1,925",..,"1,011",44.4,46,..,6.2,22,10.8
Angola,DB2009,..,..,8,68,196.8,39.1,..,11,321,310,..,..,..,..,..,7,334,11.6,..,3,3,2.7,0,..,5,6,6,5.7,..,31,272,..,..,..,53.2,..,12,68,"1,850",8,62,"2,925",..,"1,011",44.4,46,..,6.2,22,10
Angola,DB2010,..,..,8,68,151.1,29,..,11,321,223,..,8,48,"1,099.10",..,7,184,11.4,..,3,3,2.5,0,..,5,6,6,5.7,..,31,272,..,..,..,53.2,..,11,65,"1,850",8,59,"2,840",..,"1,011",44.4,46,..,6.2,22,10
Angola,DB2011,171,164,8,68,163,28.7,119,11,321,259,125,8,48,"1,278.50",174,7,184,11.5,130,3,3,2.4,0,60,5,6,6,5.7,145,31,282,..,..,..,53.2,162,11,52,"1,850",8,49,"2,840",181,"1,011",44.4,46,155,6.2,22,8.4
Angola,DB2012,172,167,8,68,118.9,25.3,115,11,321,180.3,120,8,48,890.5,129,7,184,3.2,126,3,4,2.4,0,65,5,6,6,5.7,149,31,282,24.6,9,19.5,53.2,163,11,48,"1,850",8,45,"2,690",181,"1,011",44.4,46,160,6.2,22,6.9
Antigua and Barbuda,DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Antigua and Barbuda,DB2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
Antigua and Barbuda,DB2006,..,..,8,31,13,0,..,10,134,28.2,..,..,..,..,..,6,26,11.5,..,8,0,..,..,..,4,8,7,6.3,..,45,184,..,..,..,52.1,..,5,13,"1,057",5,15,"1,967",..,351,22.7,45,..,3,7,33.2
Antigua and Barbuda,DB2007,..,..,8,21,12.5,0,..,10,134,27,..,..,..,..,..,6,26,11.5,..,8,0,0,0,..,4,8,7,6.3,..,45,184,..,..,..,48.2,..,5,13,"1,057",5,15,"1,967",..,351,22.7,45,..,3,7,33.2
Antigua and Barbuda,DB2008,..,..,8,21,11.8,0,..,10,134,25.6,..,..,..,..,..,6,26,10.9,..,8,0,0,0,..,4,8,7,6.3,..,45,184,..,..,..,46.8,..,5,19,"1,107",5,19,"1,674",..,351,22.7,45,..,3,7,35.3
Antigua and Barbuda,DB2009,..,..,8,21,11.6,0,..,10,134,25.1,..,..,..,..,..,6,26,10.9,..,8,0,0,0,..,4,8,7,6.3,..,57,207,..,..,..,46.8,..,5,15,"1,133",5,15,"1,633",..,351,22.7,45,..,3,7,35.5
Antigua and Barbuda,DB2010,..,..,8,21,9.6,0,..,10,134,20.7,..,4,42,116.4,..,6,26,10.8,..,8,0,0,0,..,4,8,7,6.3,..,57,207,..,..,..,41.5,..,5,15,"1,133",5,15,"1,633",..,351,22.7,45,..,3,7,35.5
Antigua and Barbuda,DB2011,51,72,8,21,11,0,19,10,134,23.6,15,4,42,132.2,123,7,26,10.9,96,8,0,0,0,28,4,8,7,6.3,135,57,207,..,..,..,41.5,66,5,15,"1,133",5,15,"1,633",72,351,22.7,45,70,3,7,36.7
Antigua and Barbuda,DB2012,57,80,8,21,12.5,0,21,10,134,26.8,16,4,42,150.1,124,7,26,10.9,98,8,0,0,0,29,4,8,7,6.3,135,57,207,26,9.5,6,41.5,71,5,16,"1,202",5,15,"1,633",70,351,22.7,45,81,3,7,35
Argentina,DB2004,..,..,13,66,12.4,9.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,590,16.5,36,..,2.8,15,21.4
Argentina,DB2005,..,..,13,30,14.7,8.1,..,..,..,..,..,..,..,..,..,5,51,8,..,4,6,20.1,73.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,590,16.5,36,..,2.8,15,25.8
Argentina,DB2006,..,..,13,30,12.5,6.6,..,25,367,317.9,..,..,..,..,..,5,51,8,..,4,6,22.1,95,..,6,2,6,4.7,..,62,453,..,..,..,108.1,..,7,16,"1,325",7,20,"1,825",..,590,16.5,36,..,2.8,12,36.9
Argentina,DB2007,..,..,13,30,11.6,5.6,..,25,367,274.2,..,..,..,..,..,5,51,7.8,..,4,6,25.4,100,..,6,2,6,4.7,..,19,453,..,..,..,108.1,..,7,16,"1,325",7,20,"1,825",..,590,16.5,36,..,2.8,12,36.2
Argentina,DB2008,..,..,13,30,9.7,4.8,..,25,367,232.2,..,..,..,..,..,5,51,7,..,4,6,25.5,100,..,6,2,6,4.7,..,19,453,..,..,..,108.1,..,7,16,"1,325",7,20,"1,825",..,590,16.5,36,..,2.8,12,34.4
Argentina,DB2009,..,..,14,31,9,3.7,..,25,365,181.9,..,..,..,..,..,5,51,7,..,4,6,31.2,100,..,6,2,6,4.7,..,9,453,..,..,..,108.1,..,7,13,"1,480",7,18,"1,810",..,590,16.5,36,..,2.8,12,29.8
Argentina,DB2010,..,..,14,26,11,2.9,..,25,365,143.9,..,6,67,25.2,..,6,52,7,..,4,6,34.3,100,..,6,2,6,4.7,..,9,453,..,..,..,108.1,..,7,13,"1,480",7,16,"1,810",..,590,16.5,36,..,2.8,12,29.8
Argentina,DB2011,114,143,14,26,14.2,2.7,171,25,365,132.9,58,6,67,25.2,113,6,52,7,64,4,6,30.8,100,108,6,2,6,4.7,143,9,453,..,..,..,108.2,104,7,13,"1,480",7,16,"1,810",46,590,16.5,36,82,2.8,12,32.8
Argentina,DB2012,113,146,14,26,11.9,2.2,169,25,365,107.7,58,6,67,20.4,139,7,53,7,67,4,6,35.9,100,111,6,2,6,4.7,144,9,415,2.8,29.4,76.1,108.2,102,7,13,"1,480",7,16,"1,810",45,590,16.5,36,85,2.8,12,32.9
Armenia,DB2004,..,..,9,18,8.4,5.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,327,19,50,..,1.9,4,39.3
Armenia,DB2005,..,..,9,18,7,4.5,..,..,..,..,..,..,..,..,..,4,6,0.6,..,5,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,295,19,50,..,1.9,4,39.3
Armenia,DB2006,..,..,9,18,6.1,4,..,21,183,544.5,..,..,..,..,..,4,6,0.5,..,5,3,2.6,0,..,5,2,8,5,..,50,580,..,..,..,38.7,..,6,34,"1,600",6,37,"1,880",..,285,19,50,..,1.9,4,40.7
Armenia,DB2007,..,..,8,17,5.1,3.3,..,19,148,562.8,..,..,..,..,..,3,4,0.4,..,6,3,1.5,0,..,5,2,8,5,..,50,580,..,..,..,38.7,..,6,34,"1,600",6,37,"1,880",..,285,19,50,..,1.9,4,41.7
Armenia,DB2008,..,..,8,17,4.8,3.1,..,19,148,525.3,..,..,..,..,..,3,4,0.4,..,6,5,2.8,13.5,..,5,2,8,5,..,50,581,..,..,..,40.7,..,6,30,"1,165",8,24,"1,465",..,285,19,50,..,1.9,4,41.7
Armenia,DB2009,..,..,8,17,3.6,2.3,..,19,148,112.8,..,..,..,..,..,3,4,0.3,..,6,5,2.6,24.4,..,5,2,8,5,..,50,581,..,..,..,40.7,..,6,30,"1,746",8,24,"2,111",..,285,19,49,..,1.9,4,41.8
Armenia,DB2010,..,..,5,14,2.6,0,..,19,136,104.7,..,6,242,238.5,..,3,4,0.3,..,6,5,4.4,34.5,..,5,2,8,5,..,50,581,..,..,..,40.7,..,7,17,"1,731",9,20,"2,096",..,285,19,49,..,1.9,4,41.8
Armenia,DB2011,61,20,5,14,3.1,0,95,19,136,122.4,148,6,242,278.9,4,3,7,0.3,45,6,5,16.9,38.3,93,5,2,8,5,159,50,581,..,..,..,40.7,103,5,13,"1,665",8,18,"2,045",64,285,19,49,56,1.9,4,40.6
Armenia,DB2012,55,10,3,8,2.9,0,57,18,79,57.1,150,6,242,257.8,5,3,7,0.3,40,6,6,23.7,46.6,97,5,2,8,5,153,34,500,16.8,23,1.1,40.9,104,5,13,"1,815",8,18,"2,195",91,440,19,49,62,1.9,4,40.3
Australia,DB2004,..,..,2,2,2,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,395,20.7,29,..,1,8,80.3
Australia,DB2005,..,..,2,2,2.1,0,..,..,..,..,..,..,..,..,..,5,7,4.5,..,9,5,0,95.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,395,20.7,29,..,1,8,80.3
Australia,DB2006,..,..,2,2,1.9,0,..,15,147,15.1,..,..,..,..,..,5,5,7.1,..,9,5,0,100,..,8,2,7,5.7,..,13,107,..,..,..,52.8,..,6,9,930,5,8,"1,120",..,395,20.7,29,..,1,8,79.9
Australia,DB2007,..,..,2,2,1.8,0,..,15,147,14.3,..,..,..,..,..,5,5,4.8,..,9,5,0,100,..,8,2,7,5.7,..,12,107,..,..,..,51.9,..,6,9,930,5,8,"1,120",..,395,20.7,28,..,1,8,79.7
Australia,DB2008,..,..,2,2,0.8,0,..,15,147,13.1,..,..,..,..,..,5,5,4.9,..,9,5,0,100,..,8,2,7,5.7,..,12,107,..,..,..,50.6,..,6,9,930,5,8,"1,120",..,395,20.7,28,..,1,8,79.2
Australia,DB2009,..,..,2,2,0.8,0,..,15,147,13.2,..,..,..,..,..,5,5,4.9,..,9,5,0,100,..,8,2,7,5.7,..,12,107,..,..,..,50.3,..,6,9,"1,200",5,8,"1,239",..,395,20.7,28,..,1,8,78.8
Australia,DB2010,..,..,2,2,0.8,0,..,15,147,12.8,..,5,81,10.9,..,5,5,4.9,..,9,5,0,100,..,8,2,7,5.7,..,10,107,..,..,..,47.9,..,6,9,"1,060",5,8,"1,119",..,395,20.7,28,..,1,8,78.8
Australia,DB2011,11,2,2,2,0.7,0,43,15,147,11.6,36,5,81,9.9,35,5,5,5,8,9,5,0,100,60,8,2,7,5.7,49,11,109,..,..,..,47.9,29,6,9,"1,060",5,8,"1,119",16,395,20.7,28,12,1,8,81.8
Australia,DB2012,15,2,2,2,0.7,0,42,15,147,9.9,37,5,81,9.2,38,5,5,5,8,9,5,0,100,65,8,2,7,5.7,53,11,109,26,20.4,1.3,47.7,30,6,9,"1,060",5,8,"1,119",17,395,21.8,28,17,1,8,80.8
Austria,DB2004,..,..,8,28,6.1,65.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,397,12.7,27,..,1.1,18,73.1
Austria,DB2005,..,..,8,28,6,64.1,..,..,..,..,..,..,..,..,..,3,32,4.5,..,7,6,1.1,39.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,397,12.7,27,..,1.1,18,72.5
Austria,DB2006,..,..,8,28,5.7,61.5,..,12,194,69.1,..,..,..,..,..,3,32,4.5,..,7,6,1.2,45.4,..,3,5,4,4,..,14,170,..,..,..,58.6,..,4,8,858,5,9,913,..,397,12.7,27,..,1.1,18,73.3
Austria,DB2007,..,..,8,28,5.6,59.6,..,12,194,67,..,..,..,..,..,3,32,4.5,..,7,6,1.2,39.9,..,3,5,4,4,..,14,170,..,..,..,53,..,4,8,858,5,9,913,..,397,12.7,26,..,1.1,18,73.7
Austria,DB2008,..,..,8,28,5.4,55.5,..,12,194,62.3,..,..,..,..,..,3,32,4.5,..,7,6,1.3,40.6,..,3,5,4,4,..,14,170,..,..,..,53,..,4,8,898,5,8,913,..,397,12.7,26,..,1.1,18,72.4
Austria,DB2009,..,..,8,28,5.1,52.8,..,12,194,59.6,..,..,..,..,..,3,32,4.5,..,7,6,1.3,40.9,..,3,5,4,4,..,14,170,..,..,..,53,..,4,7,"1,180",5,8,"1,195",..,397,18,25,..,1.1,18,71.5
Austria,DB2010,..,..,8,28,5.1,52,..,13,194,60.7,..,5,23,110.7,..,3,32,4.5,..,7,6,1.4,39.2,..,3,5,4,4,..,14,170,..,..,..,53.9,..,4,7,"1,180",5,8,"1,195",..,397,18,25,..,1.1,18,71.5
Austria,DB2011,28,127,8,28,5.2,53.1,72,13,194,62,21,5,23,113,32,3,21,4.5,21,7,6,1.4,40.6,131,3,5,4,4,81,14,170,..,..,..,53.9,25,4,7,"1,180",5,8,"1,195",9,397,18,25,19,1.1,18,73.1
Austria,DB2012,32,134,8,28,5.2,52,76,13,194,60.8,21,5,23,110.8,35,3,21,4.6,24,7,6,1.7,51.6,133,3,5,4,4,82,14,170,15,34.8,3.4,53.1,25,4,7,"1,180",5,8,"1,195",9,397,18,25,21,1.1,18,72.7
Azerbaijan,DB2004,..,..,14,105,16.8,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,267,18.5,39,..,2.7,8,33.4
Azerbaijan,DB2005,..,..,13,121,14.4,0,..,..,..,..,..,..,..,..,..,7,61,0.4,..,6,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,267,18.5,39,..,2.7,8,33.2
Azerbaijan,DB2006,..,..,13,113,12.3,0,..,30,212,0.3,..,..,..,..,..,7,61,0.4,..,6,4,0.4,0,..,4,1,8,4.3,..,37,756,..,..,..,46.4,..,8,43,"2,715",10,52,"2,945",..,267,18.5,39,..,2.7,8,33
Azerbaijan,DB2007,..,..,13,51,9.3,0,..,30,212,0.2,..,..,..,..,..,7,61,0,..,6,4,1.1,0,..,4,1,8,4.3,..,37,"1,000",..,..,..,42.2,..,8,43,"2,715",10,52,"2,945",..,267,18.5,39,..,2.7,8,32.5
Azerbaijan,DB2008,..,..,12,36,6.9,0,..,30,212,766.4,..,..,..,..,..,7,61,0.2,..,6,4,1.4,0,..,4,1,8,4.3,..,37,952,..,..,..,40.9,..,8,43,"2,715",10,52,"2,945",..,267,18.5,39,..,2.7,8,31.5
Azerbaijan,DB2009,..,..,6,10,3.2,0,..,30,212,518,..,..,..,..,..,4,11,0.3,..,6,5,3.1,0,..,7,5,8,6.7,..,22,376,..,..,..,40.9,..,8,43,"3,075",10,52,"3,420",..,237,18.5,39,..,2.7,8,30.1
Azerbaijan,DB2010,..,..,6,10,2.9,0,..,30,212,365.9,..,9,241,739.8,..,4,11,0.2,..,6,5,6.9,0,..,7,5,8,6.7,..,22,376,..,..,..,40.9,..,8,41,"2,980",10,46,"3,480",..,237,18.5,39,..,2.7,8,30.1
Azerbaijan,DB2011,69,16,6,8,3.1,0,172,30,212,385.6,173,9,241,779.6,9,4,11,0.2,45,6,5,7,0,21,7,5,8,6.7,105,18,306,..,..,..,40.9,169,8,38,"2,980",10,42,"3,480",25,237,18.5,39,93,2.7,8,28.8
Azerbaijan,DB2012,66,18,6,8,2.7,0,172,30,212,335.2,173,9,241,677.6,9,4,11,0.2,48,6,5,15.6,0,24,7,5,8,6.7,81,18,225,12.9,24.8,2.2,40,170,8,38,"2,905",10,42,"3,405",25,237,18.5,39,95,2.7,8,29.7
"Bahamas, The",DB2004,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
"Bahamas, The",DB2005,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
"Bahamas, The",DB2006,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
"Bahamas, The",DB2007,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..
